,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
53,"Bad Habits","Ed Sheeran",2546917,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
54,"Oh My God",Adele,2512936,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
55,"Levitating (feat. DaBaby)","Dua Lipa",2511429,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
56,"MONTERO (Call Me By Your Name)","Lil Nas X",2491614,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
57,"No Role Modelz","J. Cole",2485635,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr
58,"You Right","Doja Cat",2449904,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
59,Pepas,Farruko,2413089,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
60,2055,"Sleepy Hallow",2411028,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
61,Freaks,"Surf Curse",2387329,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
62,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",2381736,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
63,"Surround Sound (feat. 21 Savage & Baby Tate)",JID,2381553,https://open.spotify.com/track/0cp97b37sFNsdIbQH6po3T
64,"Take My Breath","The Weeknd",2379377,https://open.spotify.com/track/2vgUijXOTRMnWXDtvgMp2b
65,Infinity,"Jaymes Young",2355627,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
66,"20 Min","Lil Uzi Vert",2324610,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng
67,"Here We Go… Again (feat. Tyler, the Creator)","The Weeknd",2318905,https://open.spotify.com/track/1NhjYYcYTRywc0di98xHxf
68,505,"Arctic Monkeys",2314477,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
69,"Blinding Lights","The Weeknd",2278352,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
70,"Space Song","Beach House",2269997,https://open.spotify.com/track/7H0ya83CMmgFcOhw0UB6ow
71,"Wants and Needs (feat. Lil Baby)",Drake,2252858,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
72,"THATS WHAT I WANT","Lil Nas X",2242872,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
73,YKWIM?,"Yot Club",2236710,https://open.spotify.com/track/2vWBUC9djv6BtiGlmKiQaH
74,"Get Into It (Yuh)","Doja Cat",2213649,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
75,"drivers license","Olivia Rodrigo",2201620,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
76,"Do It To It",ACRAZE,2190757,https://open.spotify.com/track/20on25jryn53hWghthWWW3
77,"Best Friends","The Weeknd",2179507,https://open.spotify.com/track/1E5Xu8dur0fAjSP1VpVhAZ
78,"Lucid Dreams","Juice WRLD",2171445,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
79,"I AM WOMAN","Emmy Meli",2168239,https://open.spotify.com/track/3nOz1U41SZZ0N3fuUWr9nb
80,"deja vu","Olivia Rodrigo",2156997,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
81,"Good Days",SZA,2139317,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
82,"All Girls Are The Same","Juice WRLD",2120590,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
83,"love nwantiti (ah ah ah)",CKay,2117014,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
84,"Alien Blues",Vundabar,2112806,https://open.spotify.com/track/11iIikXxC6NP0Ma8vMD27x
85,"All Of You","Stephanie Beatriz",2101065,https://open.spotify.com/track/4X25mFLehFnxa1TwtLKcE2
86,"Daddy Issues","The Neighbourhood",2097791,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
87,"Jugaste y Sufrí","Eslabon Armado",2082773,https://open.spotify.com/track/3NqBxTOMCJ3zW9CIP51td4
88,"Mr. Rager","Kid Cudi",2075970,https://open.spotify.com/track/2ncLdwTd8qzkxiJjlbiOgC
89,"Hrs and Hrs","Muni Long",2071276,https://open.spotify.com/track/3xRH6FPVtheDyNla3T1FE7
90,"The Spins","Mac Miller",2062582,https://open.spotify.com/track/51pshtuYkgUQnt5huMPbKL
91,"See You Again (feat. Kali Uchis)","Tyler, The Creator",2025386,https://open.spotify.com/track/7KA4W4McWYRpgf0fWsJZWB
92,Toxic,BoyWithUke,2021998,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
93,"Pursuit Of Happiness (Nightmare)","Kid Cudi",2015587,https://open.spotify.com/track/4kTLpAbhuEGHAAdDjOIWaa
94,"Martin & Gina","Polo G",2003904,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
95,"Tell Em",Cochise,1990833,https://open.spotify.com/track/7nc7mlSdWYeFom84zZ8Wr8
96,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",1971118,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
97,"Love & War","Kodak Black",1957223,https://open.spotify.com/track/1WGmhglF1ghRiHsx4YUq86
98,"Die For You","The Weeknd",1941734,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3
99,"Already Dead","Juice WRLD",1938801,https://open.spotify.com/track/2quVkyLSVr5wX2QIhnexUt
100,"Bad Man (Smooth Criminal)","Polo G",1938501,https://open.spotify.com/track/62l3NSQPUxvcwwzKUmysrE
101,"Praise God","Kanye West",1917954,https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T
102,"Miss The Rage (feat. Playboi Carti)","Trippie Redd",1915577,https://open.spotify.com/track/5gZYpjakt37G3c58FKcQwJ
103,"Big Energy",Latto,1905862,https://open.spotify.com/track/6Zu3aw7FfjAF9WA0fA81Oq
104,"Fair Trade (with Travis Scott)",Drake,1896845,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
105,"SLOW DANCING IN THE DARK",Joji,1896038,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
106,Beggin',Måneskin,1891285,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
107,"NEW MAGIC WAND","Tyler, The Creator",1885898,https://open.spotify.com/track/0fv2KH6hac06J86hBUTcSf
108,"Buy Dirt","Jordan Davis",1883233,https://open.spotify.com/track/69AIpwGNLxr4qS1X5ynx60
109,"My Universe",Coldplay,1859155,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
110,"Money Trees","Kendrick Lamar",1857063,https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4
111,Streets,"Doja Cat",1851584,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
112,"Fancy Like","Walker Hayes",1851274,https://open.spotify.com/track/0lnpnsrVaW9elGgRxpDCgE
113,"Mr. Brightside","The Killers",1851107,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
114,"Work Out","J. Cole",1834847,https://open.spotify.com/track/2wAJTrFhCnQyNSD3oUgTZO
115,Notion,"The Rare Occasions",1834052,https://open.spotify.com/track/0sTlGEld0h8kIPZaKDYUf4
116,"25k jacket (feat. Lil Baby)",Gunna,1807073,https://open.spotify.com/track/0boodYr1uIpSVmGSP65Fmk
117,"Ain't Shit","Doja Cat",1799163,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
118,"Shoota (feat. Lil Uzi Vert)","Playboi Carti",1792861,https://open.spotify.com/track/2BJSMvOGABRxokHKB0OI8i
119,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",1788273,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
120,Yonaguni,"Bad Bunny",1777987,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
121,"Love Grows (Where My Rosemary Goes)","Edison Lighthouse",1777393,https://open.spotify.com/track/5Ts1DYOuouQLgzTaisxWYh
122,"Looking Out for You","Joy Again",1772659,https://open.spotify.com/track/3jfZ9M23l0L7RxzYMTgBTv
123,"Man in the Mirror","A Boogie Wit da Hoodie",1772422,https://open.spotify.com/track/7uLFOXgLrS90tEYPO1DGXy
124,"No Love (with SZA)","Summer Walker",1762777,https://open.spotify.com/track/08SB2OtZkaliju77WYEKxk
125,"WHERE WE ARE","The Lumineers",1752075,https://open.spotify.com/track/4MTmAFWHpvB9kPMSRgLFRp
126,"Starry Eyes","The Weeknd",1748795,https://open.spotify.com/track/6zzdyvVWjGrQBraSvuqJPY
127,"Save Your Tears","The Weeknd",1744963,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
128,Burn,"Juice WRLD",1738741,https://open.spotify.com/track/0QwKxajohg1rAMMmv1AWe1
129,Circles,"Post Malone",1736959,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
130,"Leave The Door Open","Bruno Mars",1735129,https://open.spotify.com/track/1LPSkqVhWVRUkKE03YUkpB
131,"Star Shopping","Lil Peep",1734431,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp
132,"we fell in love in october","girl in red",1726580,https://open.spotify.com/track/1BYZxKSf0aTxp8ZFoeyM3d
133,"XO Tour Llif3","Lil Uzi Vert",1723029,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
